,assessment_id,tool_version,tool_release_date,scenario,submitter_unit_id,L1,submitter_org_id,L2,L3,L4,L5,L6,L7,scenario_id,L8,spec_id,distribution_id,P1,P2,sdo_id,P3,P4,P5,P6,C1,C2,C3,assessment_date,io_spec_type
0,e8d1a4036c852ec6d3afbf81480a9023,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-06-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),90bf2517de1cae50ba48584b72975752,eaa24f8b-698a-4aca-a085-de50796a2b7f,Cascading Style Sheets (CSS) v2.1,https://www.w3.org/TR/2011/REC-CSS2-20110607/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-06-30,Generic Specification
0,0993cad9968c3eac3030f1da531d6026,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),2910a52ea601c36a8011026d64322cbb,53213be9-e48f-4561-8eca-900a9aae2be8,Core Public Organisation Vocabulary (CPOV),https://joinup.ec.europa.eu/solution/e-government-core-vocabularies/core-public-organisation-vocabulary,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-09-30,Generic Specification
0,ed42bbf53b00d5c2c4bf033f468d3194,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),15266f020ae2dc36437e5144597d0224,aeb667a0-ea61-463d-b2c1-cb12ae4dbf6c,OWL 2 Web Ontology Language (OWL2),https://www.w3.org/TR/owl2-overview/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-07-31,Generic Specification
0,dda525645e8fcc810c6950d8f804441f,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),a2877dc158c015ef78cf9a48a3c037d6,e99ee14f-d58b-42c0-806e-9674051384e1,Core Criterion and Core Evidence Vocabulary (CCCEV) v1.0,https://joinup.ec.europa.eu/solution/e-government-core-vocabularies/core-criterion-and-core-evidence-vocabulary,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-09-30,Generic Specification
0,fcaca1134b240b5f9f26425c7bb918c3,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),34da450e959d17db92f6876051d0faac,ace4be9c-d2bf-42bf-931c-6f59b9810e50,Ogg,https://xiph.org/ogg/doc/rfc3533.txt,10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-09-30,Generic Specification
0,647226d04b326dc6de49646230da63f0,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-08-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),20aaf100ac307d408a86a1aacebbfab9,4271f3a1-f81c-4764-bf10-5989073b6b7d,Portable Document Format/A (PDF/A),"https://www.iso.org/standard/38920.html
https://www.iso.org/standard/50655.html",10335e1a8f48a1aebd2f6b354f3f1d69,Other SDO/SSO,,,,,,,2020-08-31,International Standard
0,a0855e4f0692ba1b95fa3782f6edd452,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-09-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),c8b23f3142c588bfd835916c96f039bc,2eec368c-d06f-445f-978e-01a01f397b73,File Transfer Protocol over Transport Layer Security (FTPS or FTP over TLS),https://tools.ietf.org/html/rfc4217,a38b549dc5a2d4826ec41e4c6a053132,IETF (https://www.ietf.org/),,,,,,,2020-09-30,Generic Specification
0,768081cae9c6ec4a1a45477f2d65db76,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-07-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),7b7e340f366440a064311a7cf9de4516,63680d24-a55d-4c82-b5f8-05a5fe2aaf1c,Scalable Vector Graphics (SVG) v1.1 (Second Edition),https://www.w3.org/TR/SVG11/,5fda6dea864232f7ba9b87719d506063,W3C (http://www.w3.org),,,,,,,2020-07-31,Generic Specification
0,18691d101e49b13a5f1016d73aed8326,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-08-31,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),f0f4f1934dd1d8ef1f4cc543f7449dd0,96b686d3-4412-4fc8-b45c-554a48153ba7,Multipurpose Internet Mail Extensions (MIME),https://tools.ietf.org/html/rfc2045,a38b549dc5a2d4826ec41e4c6a053132,IETF (https://www.ietf.org/),,,,,,,2020-08-31,Generic Specification
0,f9e736d0a7726eaa0eaeffd70e1e2cc9,3.1.0,2020-03-31,EIF,54e7c89e64e7be3fb83df2c3249d9d08,CAMSS Team,a9e8f43abb3595bab3f7b8a2b19a6795,everis,,,,CAMSS@everis.com,2020-06-30,c4da808d51612cb9fa91e5ba19e03773,European Interoperability Framework (EIF),006e80ed585baa52a03215b9c6b7ca64,569c0b5d-fd8f-4fac-8a95-b8f533063fa9,Lightweight Directory Access Protocol (LDAP),https://tools.ietf.org/html/rfc4511,a38b549dc5a2d4826ec41e4c6a053132,IETF (https://www.ietf.org/),,,,,,,2020-06-30,Generic Specification
