,ass_id,criterion_id,statement_id,statement,score_id,score_value
0,e8d1a4036c852ec6d3afbf81480a9023,c42a5a8ff73196201aac3c90c0f9c95f,a75e7fb6-1cf6-4762-b169-485c80c8e870,"CSS v2.1 is included in 3 national catalogues of recommended specifications. They belong to the Netherlands, Spain and Sweden.
The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets. 

National catalogue the Netherlands: 
https://www.forumstandaardisatie.nl/open-standaarden

National catalogue Spain:
https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Interoperabilidad_Inicio/pae_Normas_tecnicas_de_interoperabilidad.html#CATALOGOESTANDARES

National catalogue Sweden:
https://www.avropa.se/globalassets/dokument/open-it-standards.pdf?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3d%3d&_t_q=standards&_t_tags=language%3asv%2csiteid%3a95d515a5-23ca-47bf-87a9-07b10d8ac360&_t_ip=178.139.72.144&_t_hit.id=Avropa_Core_Models_Media_GenericMedia/_ff07d720-f793-44b0-994d-27e79b28f6bd&_t_hit.pos=7

NIFO factsheets:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets",3afbe722-9dc3-432a-945c-eaf4a5248741,1
1,e8d1a4036c852ec6d3afbf81480a9023,018d36156569392f2aafea23f64a76c2,984ff3d2-413c-42a0-840d-dcdb47c04ead,"CSS is a simple mechanism for adding style (fonts, colours, spacing...) to web documents, but by itself, it does not publish data on the web. Also, it does not comply with the other levels of maturity presented by Tim Berners-Lee's 5 stars for open data.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/

Five star open data:
https://5stardata.info/en/",6dfffd2a-ce25-4626-91d3-d6d2a88f4235,0
2,e8d1a4036c852ec6d3afbf81480a9023,6e66052782871e8f735e877ab531746b,2084c8ce-334c-4751-8a4d-7f32a51431dc,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies",9b5cba05-9f3b-4950-8f48-625091880776,1
3,e8d1a4036c852ec6d3afbf81480a9023,86480aeb679a28b84c21e76373281a89,06511cf3-499e-4e2d-b4ba-59204a0f2751,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies ",db79bb44-632c-4984-8aec-a2827fc74d3b,1
4,e8d1a4036c852ec6d3afbf81480a9023,4e9a30bee7bc426848739d2f6306a3f4,6e5879c7-f788-4ff9-9d53-027e62a480e2,"CSS is publicly available for implementation and study for free on W3C's webpage. 

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",e029f863-b64f-442f-962d-c1d47865d40f,1
5,e8d1a4036c852ec6d3afbf81480a9023,d9708f7ddb370ef2f423f5ef40e0212f,2819474d-25fb-4f0f-8530-720ab3c081b6,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including CSS v2.1.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC",578794b8-0480-496f-b9aa-988dcad2900c,1
6,e8d1a4036c852ec6d3afbf81480a9023,1408eabc0d6cf718b6797e574778544c,5e9752dd-1959-4c32-b9c5-e4390d5c6a96,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including CSS v2.1.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC ",aeb9f35b-1d71-431a-9941-066ce963b5ed,1
7,e8d1a4036c852ec6d3afbf81480a9023,75ae91ad6e35df68c0fdf68310f95632,2b3ae7d6-0130-47d0-9dec-08e4432c913d,"CSS is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS is a cornerstone technology of the World Wide Web. CCS v2.1 went to proposed recommendation on 12 April 2011. After being reviewed by the W3C Advisory Committee, it was finally published as a W3C Recommendation on 7 June 2011 and it has been used for the development of many webs. Therefore, the maturity of the specifications is widely demonstrated.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",6df3754a-4cd5-4b78-a9f7-2c3b3f419b47,1
8,e8d1a4036c852ec6d3afbf81480a9023,077c966676cefd77a045324b17f73f2b,db7fe6be-8fc5-47db-a839-363f9a1ab156,"CSS v2.1 has had market acceptance for unified web design for years used with HTML which is widely accepted, but with the release of the CSS3 version that uses CSS v2.1 specification as its core, its use has been reduced. CSS3 has implemented some modules and functionalities of the CSS v2.1 specification. Moreover, some modules of CSS3 have been accepted as standard by W3C, for example: CSS Colour Module Level 3 (W3C Recommendation 06 November 2018). 

CSS v2.1 W3C reference: 
https://www.w3.org/TR/2011/REC-CSS2-20110607/ 

CSS Color Module Level 3 W3C reference: 
https://www.w3.org/TR/2018/REC-css-color-3-20180619/",4b47f2f6-52e4-4f9b-b14f-af9d06a44738,0
9,e8d1a4036c852ec6d3afbf81480a9023,bff365d744436a47cb68583789942a3c,1a469e63-2331-40c5-b679-d033710a2df6,"CSS v2.1 has been used to develop innovative solutions in the past, but with the new version CSS3, all web solutions that want to be developed with CSS use the latest version because it is more efficient and has more features.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/

CSS Color Module Level 3 W3C reference:
https://www.w3.org/TR/2018/REC-css-color-3-20180619/",a4466484-fe58-4111-998d-fa8bcb5a15fc,0
10,e8d1a4036c852ec6d3afbf81480a9023,e81f968ffcd82a2aa7c9317374724895,b1b57a5e-05c8-45f2-885d-834256e0fe3d,"CSS is maintained by W3C which is an international community developing open standards. 

Developer community W3C:
https://www.w3.org/Consortium/",d943f88d-c482-43e6-9227-88d6009bedc1,1
11,e8d1a4036c852ec6d3afbf81480a9023,eb586dd9bcab05b431f4be7a8fe4c7f3,9ace57fa-c69b-42f6-a694-f6f9d2d554b1,"The purpose of CSS is to give format to web documents, including layout, colours and fonts. Therefore, it allows to improve the visualization so that the information is friendlier and its interpretation is easier.
An example of this is EUR-Lex, the cross border gateway to EU Law. It is using CSS to present the different documentation contained in EUR-Lex.

Presentation style sheets EU Vocabulary:
https://op.europa.eu/en/web/eu-vocabularies/presentation-style-sheets

EUR-Lex:
https://eur-lex.europa.eu/homepage.html?locale=en",ccc268a3-21de-452d-8c5a-5934b36af95d,1
12,e8d1a4036c852ec6d3afbf81480a9023,18193cd10351ff88c41670f1732ded10,d9edf45e-c1b3-4d42-8e03-2bae6ff3695d,"The purpose of CSS is to give format to web documents, including layout, colours and fonts. A well-formatted web document helps the public administration to make the information more comprehensible. Without a CSS, the information could be confusing and it could take longer to see the meaning of the information.
An example of this is EUR-Lex, the cross border gateway to EU Law. It is using CSS to present the different documentation contained in EUR-Lex. 

Presentation style sheets EU Vocabulary:
https://op.europa.eu/en/web/eu-vocabularies/presentation-style-sheets

EUR-Lex:
https://eur-lex.europa.eu/homepage.html?locale=en",67f98c67-506a-448b-af98-dacc2ae4e0cf,1
13,e8d1a4036c852ec6d3afbf81480a9023,84c9dc669c9d40e2e541ad4e6172ca7f,3a4727ab-dffb-4ba4-b018-aea30b7149d1,"The purpose of the specifications is not related to the availability of interfaces with internal information systems. Therefore, this criterion is not applicable to this specification. In the case that there would be an interface with HTML, this specification could help to ensure the availability of interfaces giving the correct format.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",bd0b48ed-3bd5-4a30-a7c9-ff2df5a6e9a8,2
14,e8d1a4036c852ec6d3afbf81480a9023,a20e9c41d70c67b369048847ef4bb353,75d7b037-6e00-49a1-a9c3-6ec07fc77d8f,"CSS v2.1 is a business domain agnostic specification that can be reused in a cross-domain manner.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",d4295842-df51-4bd2-ae7c-38b56340c748,1
15,e8d1a4036c852ec6d3afbf81480a9023,50f9b713a1a993210642e0cd97fcdc41,7dab85f8-cd64-4b34-9050-d5d14ff877e8,"CSS v2.1 is publicly available for implementation and use for free on W3C's webpage. Therefore, it can be reused by the organizations, administrations, open communities, etc. that developed it.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",1ce4a690-972c-4273-a9c2-fbbb21d5454b,1
16,e8d1a4036c852ec6d3afbf81480a9023,7b3adb5beefed16606f7bb175e1795c8,afb49f34-0ea1-4775-a613-36c09ceef150,"CSS can be found for free along within the European Collaborative Platform, Joinup.

CSS in Joinup platform:
https://joinup.ec.europa.eu/solution/cascading-style-sheets/distribution/cascading-style-sheets",118dfd06-3b76-4f85-96b7-d956b74d9a90,1
